GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
BookingMx Backend,com.bookingmx.reservations.repo,ReservationRepository,0,52,0,2,0,10,0,6,0,5
BookingMx Backend,com.bookingmx.reservations.controller,ReservationController,0,53,0,0,0,16,0,6,0,6
BookingMx Backend,com.bookingmx.reservations.dto,ReservationRequest,0,31,0,0,0,9,0,9,0,9
BookingMx Backend,com.bookingmx.reservations.dto,ReservationResponse,0,39,0,0,0,10,0,7,0,7
BookingMx Backend,com.bookingmx.reservations.model,ReservationStatus,0,15,0,0,0,3,0,1,0,1
BookingMx Backend,com.bookingmx.reservations.model,Reservation,2,106,1,5,0,28,1,19,0,17
BookingMx Backend,com.bookingmx.reservations.exception,NotFoundException,0,4,0,0,0,1,0,1,0,1
BookingMx Backend,com.bookingmx.reservations.exception,ApiExceptionHandler,36,32,0,0,4,13,4,4,4,4
BookingMx Backend,com.bookingmx.reservations.exception,BadRequestException,0,4,0,0,0,1,0,1,0,1
BookingMx Backend,com.bookingmx.reservations.service,ReservationService,0,133,0,6,0,31,0,11,0,8
BookingMx Backend,com.bookingmx.reservations,BookingMxApplication,10,7,0,0,3,2,2,2,2,2
